노드ID,노드순번,노드유형,노드명,노드설명,좌표X,좌표Y,맵핑좌표X,맵핑좌표Y,지역ID,정류장번호,사용여부,표준코드여부(1:표준/0:비표준)
1249900124,2,101.0,일자교앞교차로,,127.1782564,37.5708175756,0.0,0.0,,,1,0
113000505,1,6.0,홍대입구역(가상),스마트쉘터 14-015 용 가상정류소,126.921864372,37.5552260552,126.921818016,37.5552647057,,14096.0,1,0
116000649,1,0.0,구로SKV1.제일풍경채포레스트,,126.817092,37.477579,126.817111623,37.4775834895,,17162.0,1,0
110000698,1,0.0,상계2동주민센터,상계2동주민센터,127.067489,37.657637,127.067361592,37.6575077496,,11262.0,1,0
112000439,1,0.0,DMC쌍용.래미안루센티아,,126.91881,37.575594,126.918864418,37.5756618452,,13341.0,1,0
123000673,1,0.0,포레나송파정문,,127.148588,37.487072,127.14897776,37.4872819003,,24336.0,1,0
103900270,1,5.0,금호베스트빌아파트노인정앞,금호베스트빌아파트노인정앞,127.025069533,37.5618733218,127.025055047,37.5618425667,,4885.0,1,0
123000648,1,0.0,송파두산위브.송파소방서,송파두산위브.송파소방서,127.14165138,37.5001266228,127.14167461,37.5001192786,,24117.0,1,0
103900278,1,5.0,왕십리로교차로,왕십리로교차로,127.038935443,37.557719765,127.039003247,37.5577270748,,4893.0,1,0
124000447,1,0.0,상일파출소.고덕아르테온,,127.165766,37.555557,127.165731927,37.5553059831,,25338.0,1,0
111901150,1,5.0,상암고등학교,상암고등학교,126.883670786,37.580684598,126.88366682,37.5807403005,,14613.0,1,0
111001128,1,0.0,백련산SK뷰아이파크아파트,,126.919156,37.595846,126.919258219,37.5960691196,,12296.0,1,0
103900286,1,5.0,한양대학교병원응급실,한양대학교병원응급실,127.0446,37.559812,127.044559981,37.5598115933,,4906.0,1,0
122000744,1,0.0,LH수서아파트,,127.105347,37.478608,127.105577485,37.4782340491,,23441.0,1,0
103900299,1,5.0,경동초등학교입구,경동초등학교입구,127.051155,37.545895,127.050882065,37.5459918164,,4547.0,1,0
124000461,1,0.0,강일역3번출구,강일역3번출구,127.177271259,37.5576252923,127.176640079,37.5575606758,,25381.0,1,0
118000614,1,0.0,해군호텔,,126.915890022,37.5042586234,126.915898052,37.5043499221,,19853.0,1,0
221000167,1,0.0,미리내마을입구,미리내마을입구,127.118262359,37.6425984663,127.118262359,37.6425984663,,39137.0,1,1
221000168,1,0.0,담터입구,담터입구,127.115445365,37.6420150739,127.115445365,37.6420150739,,39138.0,1,1
103900272,1,5.0,응봉역.광희중학교,응봉역.광희중학교,127.035298,37.551878,127.035546573,37.5518243329,,4887.0,1,0
107000522,1,0.0,장위래미안아파트,장위래미안아파트,127.052473,37.618894,127.052265543,37.6188638365,,8239.0,1,0
107900351,1,5.0,돈암코오롱하늘채.일신휴먼빌,돈암코오롱하늘채.일신휴먼빌,127.011342,37.599603,127.011400893,37.5994414057,,8799.0,1,0
124000456,1,0.0,강동리버스트6.7단지,강동리버스트6.7단지,127.17195,37.570491,127.17190755,37.5708394103,,25376.0,1,0
